subject,field,value,source,observed,confidence,note,license
binnen-oranjestraat-9,key_photo,PicturesOriginal/IMG_0393.JPG,photos-2009,2009-10-06,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
binnen-oranjestraat-9,trading,true,photos-2009,2009-10-06,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
binnen-oranjestraat-9,photo_heading,65.9,photos-2009,2009-10-06,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
bonairestraat-78,coordinate,"52.3621667,4.8553333",photos-2009,2009-10-14,0.9,"own GPS, DOP 1.0, camera bearing 29.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
bonairestraat-78,key_photo,PicturesOriginal/IMG_0746.JPG,photos-2009,2009-10-14,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
bonairestraat-78,trading,true,photos-2009,2009-10-14,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
bonairestraat-78,photo_heading,29.9,photos-2009,2009-10-14,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
bos-en-lommerweg-163,coordinate,"52.3811667,4.8553333",photos-2009,2009-10-14,0.9,"own GPS, DOP 3.0, camera bearing 169.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
bos-en-lommerweg-163,key_photo,PicturesOriginal/IMG_0694.JPG,photos-2009,2009-10-14,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
bos-en-lommerweg-163,trading,true,photos-2009,2009-10-14,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
bos-en-lommerweg-163,photo_heading,169.9,photos-2009,2009-10-14,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
brouwersgracht-11,coordinate,"52.379,4.8931667",photos-2009,2009-10-15,0.9,"own GPS, DOP 3.0, camera bearing 253.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
brouwersgracht-11,key_photo,PicturesOriginal/IMG_0995.JPG,photos-2009,2009-10-15,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
brouwersgracht-11,trading,true,photos-2009,2009-10-15,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
brouwersgracht-11,photo_heading,253.9,photos-2009,2009-10-15,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
brouwersgracht-137,coordinate,"52.3815,4.8863333",photos-2009,2009-10-06,0.9,"own GPS, DOP 3.0, camera bearing 89.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
brouwersgracht-137,key_photo,PicturesOriginal/IMG_0390.JPG,photos-2009,2009-10-06,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
brouwersgracht-137,trading,true,photos-2009,2009-10-06,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
brouwersgracht-137,photo_heading,89.9,photos-2009,2009-10-06,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
chassestraat-4,coordinate,"52.3673333,4.862",photos-2009,2009-10-14,0.9,"own GPS, DOP 3.0, camera bearing 295.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
chassestraat-4,key_photo,PicturesOriginal/IMG_0814.JPG,photos-2009,2009-10-14,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
chassestraat-4,trading,true,photos-2009,2009-10-14,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
chassestraat-4,photo_heading,295.9,photos-2009,2009-10-14,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
churchilllaan-86,coordinate,"52.347,4.898",photos-2009,2009-10-13,0.9,"own GPS, DOP 3.0, camera bearing 321.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
churchilllaan-86,key_photo,PicturesOriginal/IMG_0517.JPG,photos-2009,2009-10-13,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
churchilllaan-86,trading,true,photos-2009,2009-10-13,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
churchilllaan-86,photo_heading,321.9,photos-2009,2009-10-13,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
czaar-peterstraat-122,coordinate,"52.3703333,4.93",photos-2009,2009-10-13,0.9,"own GPS, DOP 3.0, camera bearing 68.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
czaar-peterstraat-122,key_photo,PicturesOriginal/IMG_0467.JPG,photos-2009,2009-10-13,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
czaar-peterstraat-122,trading,true,photos-2009,2009-10-13,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
czaar-peterstraat-122,photo_heading,68.9,photos-2009,2009-10-13,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
da-costastraat-51,coordinate,"52.369,4.874",photos-2009,2009-10-14,0.9,"own GPS, DOP 3.0, camera bearing 3.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
da-costastraat-51,key_photo,PicturesOriginal/IMG_0778.JPG,photos-2009,2009-10-14,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
